0 0 1
0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 7
0 7 8
0 8 9
0 9 10
0 10 11
0 11 12
0 12 13
0 13 14
0 14 15
0 15 16
0 16 17
0 17 18
0 18 19
0 19 20
0 20 21
0 21 22
0 22 23
0 23 24
0 24 25
0 25 26
0 26 27
0 27 28
0 28 29
0 29 30
0 30 31
0 31 32
0 32 33
0 33 34
0 34 35
0 35 36
0 36 37
0 37 38
0 38 39
0 39 40
0 40 41
0 41 42
0 42 43
0 43 44
0 44 45
0 45 46
0 46 47
0 47 48
1 0 0
1 1 30
1 2 49
1 3 50
1 5 51
1 6 52
1 7 53
1 8 54
1 9 55
1 10 56
1 11 57
1 12 58
1 13 59
1 14 60
1 16 61
1 17 62
1 18 63
1 19 64
1 20 65
1 21 66
1 22 67
1 24 68
1 25 69
1 26 70
1 27 83
1 28 84
1 30 85
1 32 71
1 34 72
1 35 73
1 36 74
1 37 2
1 38 75
1 40 86
1 41 76
1 42 77
1 43 78
1 44 79
1 45 80
1 46 81
1 47 82
2 0 38
2 1 0
2 2 87
2 3 118
2 4 88
2 5 89
2 6 90
2 7 91
2 8 92
2 9 116
2 10 93
2 11 119
2 12 121
2 13 123
2 14 120
2 16 94
2 17 95
2 18 96
2 19 97
2 20 98
2 21 124
2 22 99
2 24 100
2 25 113
2 26 101
2 28 114
2 29 1
2 30 102
2 32 103
2 33 104
2 34 105
2 35 106
2 36 107
2 38 108
2 41 115
2 42 122
2 43 117
2 44 109
2 45 110
2 46 111
2 47 112
3 0 125
3 1 126
3 2 0
3 3 14
3 4 127
3 5 128
3 7 129
3 8 130
3 9 131
3 10 132
3 11 158
3 12 160
3 14 159
3 16 133
3 18 134
3 19 135
3 20 136
3 21 4
3 22 75
3 24 137
3 25 138
3 26 139
3 27 140
3 28 141
3 29 142
3 30 143
3 32 144
3 33 145
3 34 146
3 35 147
3 36 148
3 37 149
3 38 150
3 40 151
3 41 152
3 42 161
3 43 153
3 44 154
3 45 155
3 46 156
3 47 157
4 0 162
4 1 163
4 2 22
4 3 0
4 4 164
4 5 165
4 6 195
4 7 166
4 8 167
4 9 168
4 10 169
4 12 114
4 13 3
4 14 170
4 16 171
4 17 196
4 18 172
4 19 173
4 20 197
4 22 198
4 24 174
4 25 175
4 26 176
4 27 177
4 28 178
4 29 179
4 30 180
4 32 181
4 33 182
4 34 183
4 35 184
4 36 185
4 37 186
4 38 187
4 40 188
4 41 189
4 43 190
4 44 191
4 45 192
4 46 193
4 47 194
5 1 88
5 2 127
5 3 164
5 4 0
5 5 34
